anime_id,title,status,aired_string,score,scored_by,rank,popularity,members,genre
19961,Heisei Tensai Bakabon,Finished Airing,"Jan 6, 1990 to Dec 29, 1990",6.5,38.0,10381.0,10787.0,250.0,"Slice of Life, Comedy"
27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Finished Airing,"Jul 25, 2015 to Sep 26, 2015",7.37,33806.0,2147.0,1208.0,67317.0,"Action, Slice of Life, Comedy, Magic, Fantasy"
35153,Momotarou no Koutsuu Anzen Kyoushitsu,Finished Airing,2013,6.33,3.0,11313.0,14183.0,35.0,"Kids, Fantasy"
33480,Waku Waku Koma-chan,Finished Airing,"Jun 17, 2016",4.0,3.0,12628.0,13653.0,69.0,"Adventure, Kids"
8332,Kudan,Finished Airing,2008,6.55,117.0,5413.0,10972.0,225.0,Fantasy
33228,Mobile Suit Gundam-san: Hiyoko day's Ichisuisei Hiyoko to Fushigi na Ofuda,Finished Airing,"Apr 22, 2016",5.77,70.0,7868.0,9666.0,466.0,"Comedy, Parody, Mecha"
2075,Kiko-chan Smile,Finished Airing,"Oct 5, 1996 to Sep 27, 1997",6.42,77.0,5921.0,9642.0,470.0,"Adventure, Comedy, Josei, Slice of Life"
6312,Taiho Shichau zo: Full Throttle Special,Finished Airing,"Aug 22, 2008",7.13,674.0,3104.0,7019.0,1860.0,"Action, Adventure, Comedy, Police"
8733,Tousan no Tsukutta Uta,Finished Airing,"Dec, 1982",4.95,125.0,9088.0,10835.0,245.0,"Music, Fantasy"
11357,Micro Teukgongdae Diatron 5,Finished Airing,"Jul 20, 1985",3.49,276.0,9494.0,9291.0,567.0,"Action, Space, Mecha, Sci-Fi"
21473,Persona 3 the Movie 2: Midsummer Knight's Dream,Finished Airing,"Jun 7, 2014",7.81,20365.0,862.0,1746.0,41212.0,"Action, Supernatural, Fantasy"
1088,Macross,Finished Airing,"Oct 3, 1982 to Jun 26, 1983",8.04,21647.0,511.0,1367.0,58501.0,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space"
36611,Bary-san no Shokoku Manyuuki,Finished Airing,"Feb 3, 2016 to Mar 30, 2016",5.5,2.0,9702.0,13829.0,59.0,Comedy
9948,Music Up,Finished Airing,2000 to 2001,6.09,22.0,11356.0,11295.0,194.0,Music
90,Mobile Suit Gundam Wing,Finished Airing,"Apr 7, 1995 to Mar 29, 1996",7.84,59894.0,817.0,845.0,102852.0,"Action, Military, Sci-Fi, Space, Drama, Mecha"
1989,Shizuku,Finished Airing,"Oct 1, 1965",5.81,1053.0,7786.0,7162.0,1731.0,Comedy
29469,Daisuki! Nendomama,Finished Airing,"Apr 4, 1994 to Mar 13, 1995",5.83,6.0,9943.0,13364.0,82.0,"Kids, Slice of Life, Fantasy"
9014,Kuttsukiboshi,Finished Airing,"Aug 16, 2010 to May 11, 2012",6.33,14084.0,6272.0,2223.0,27579.0,"Romance, Supernatural, Drama, Shoujo Ai"
20555,SoniAni: Super Sonico The Animation,Finished Airing,"Jan 6, 2014 to Mar 24, 2014",6.2,18966.0,6764.0,1412.0,56268.0,"Music, Slice of Life"
15769,Shining Hearts: Shiawase no Pan - Kokoro ga Todoita Picture Drama,Finished Airing,"Jul 27, 2012 to Dec 21, 2012",5.98,346.0,7405.0,7384.0,1552.0,Fantasy
31170,Youkai Ninpouchou Jiraiya!,Finished Airing,"Apr 2, 2015",4.63,46.0,12780.0,12511.0,123.0,"Action, Comedy"
25687,Digimon Adventure tri. 1: Saikai,Finished Airing,"Nov 21, 2015",7.62,39122.0,1289.0,1085.0,76441.0,"Action, Adventure, Comedy, Drama"
